  20 ê-otihtahk	PV/e+otihtam+V+TI+Cnj+3Sg
  20 ê-nipâyit	PV/e+nipâw+V+AI+Cnj+4Sg/Pl
  20 ê-kî-osîhtât	PV/e+PV/ki+osîhtâw+V+TI+Cnj+3Sg
  20 ê-kî-itêyihtamân	PV/e+PV/ki+itêyihtam+V+TI+Cnj+1Sg
  20 ê-itwêcik	PV/e+itwêw+V+AI+Cnj+3Pl
  20 ê-itohtêcik	PV/e+itohtêw+V+AI+Cnj+3Pl
  20 ê-ayâyâhk	PV/e+ayâw+V+AI+Cnj+1Pl
  20 têhtapiw	têhtapiw+V+AI+Ind+3Sg
  20 pîhtokêyiwa	pîhtokêw+V+AI+Ind+4Sg/Pl
  20 otinamiyiwa	otinam+V+TI+Ind+4Sg/Pl
  20 nôhtêhkatêw	nôhtêhkatêw+V+AI+Ind+3Sg
  20 niyâ	niyâ+Ipc
  20 nitawâc	nitawâc+Ipc
  20 miskawêw	miskawêw+V+TA+Ind+3Sg+4Sg/PlO
  20 misahkamik	misahkamik+Ipc
  20 kiyikaw	kiyikaw+Ipc
  20 kika-itik	PV/ka+itêw+V+TA+Ind+3Sg+2SgO
  20 katisk	katisk+Ipc
  20 kani	kani+Ipc
  20 itohtê	itohtêw+V+AI+Imp+Imm+2Sg
  20 ayinânêw	ayinânêw+Ipc
  20 awas	awas+Ipc
  20 aciyaw	aciyaw+Ipc
  19 ômatowihk	ômatowihk+Ipc
  19 ê-miywâsiniyik	PV/e+miywâsin+V+II+Cnj+4Sg
  19 ê-misikitiyit	PV/e+misikitiw+V+AI+Cnj+4Sg/Pl
  19 ê-kî-nipahât	PV/e+PV/ki+nipahêw+V+TA+Cnj+3Sg+4Sg/PlO
  19 ê-ati-sipwêhtêt	PV/e+PV/ati+sipwêhtêw+V+AI+Cnj+3Sg
  19 nêwâw	nêwâw+Ipc
  19 nâtakâm	nâtakâm+Ipc
  19 nika-ayân	PV/ka+ayâw+V+AI+Ind+1Sg
  19 miyâmay	miyâmay+Ipc
  19 kîsta	kîsta+Pron+Pers+2Sg+Incl
  19 ayâyiwa	ayâw+V+AI+Ind+4Sg/Pl
  19 ay-ayâw	RdplW+ayâw+V+AI+Ind+3Sg
  18 ê-waniskât	PV/e+waniskâw+V+AI+Cnj+3Sg
  18 ê-pimisihk	PV/e+pimisin+V+AI+Cnj+3Sg
  18 ê-kî-isit	PV/e+PV/ki+itêw+V+TA+Cnj+3Sg+1SgO
  18 ê-kiskêyihtamân	PV/e+kiskêyihtam+V+TI+Cnj+1Sg
  18 ê-itwêyit	PV/e+itwêw+V+AI+Cnj+4Sg/Pl
  18 ê-itak	PV/e+itêw+V+TA+Cnj+1Sg+3SgO
  18 âhci	âhci+Ipc
  18 waniskâ	waniskâw+V+AI+Imp+Imm+2Sg
  18 tahtwâw	tahtwâw+Ipc
  18 pêyak-pîsim	pêyak-pîsim+Ipc
  18 pâhpiw	pâhpiw+V+AI+Ind+3Sg
  18 otihtam	otihtam+V+TI+Ind+3Sg
  18 nipâwak	nipâw+V+AI+Ind+3Pl
  18 nikî-wâpamâw	PV/ki+wâpamêw+V+TA+Ind+1Sg+3SgO
  18 nikotwâsik	nikotwâsik+Ipc
  18 nahiyikohk	nahiyikohk+Ipc
  18 kîwêhtahêw	kîwêhtahêw+V+TA+Ind+3Sg+4Sg/PlO
  18 kîmôc	kîmôc+Ipc
  18 kî-itwêwak	PV/ki+itwêw+V+AI+Ind+3Pl
  18 kâ-pipohk	PV/kaa+pipon+V+II+Cnj+3Sg
  18 akâmihk	akâmihk+Ipc
  17 êyiwêhk	êyiwêhk+Ipc
  17 ê-wâpahtahk	PV/e+wâpahtam+V+TI+Cnj+3Sg
  17 ê-tapasît	PV/e+tapasîw+V+AI+Cnj+3Sg
  17 ê-otihtât	PV/e+otihtêw+V+TA+Cnj+3Sg+4Sg/PlO
  17 ê-miyosiyit	PV/e+miyosiw+V+AI+Cnj+4Sg/Pl
  17 ê-mihcêticik	PV/e+mihcêtiwak+V+AI+Cnj+3Pl
  17 ê-kîsi-mîcisot	PV/e+kîsi-mîcisow+V+AI+Cnj+3Sg
  17 ê-kî-ayâyâhk	PV/e+PV/ki+ayâw+V+AI+Cnj+1Pl
  17 ê-astât	PV/e+astâw+V+TI+Cnj+3Sg
  17 âyîtaw	âyîtaw+Ipc
  17 wâwâc	wâwâc+Ipc
  17 sîpâ	sîpâ+Ipc
  17 pîhtokêwak	pîhtokêw+V+AI+Ind+3Pl
  17 pîhtokê	pîhtokêw+V+AI+Imp+Imm+2Sg
  17 pikoyikohk	pikoyikohk+Ipc
  17 nîpawiw	nîpawiw+V+AI+Ind+3Sg
  17 nêki	awa+Pron+Dem+Dist+A+Pl
  17 manitôwiw	manitôwiw+V+AI+Ind+3Sg
  17 kâ-sipwêhtêt	PV/kaa+sipwêhtêw+V+AI+Cnj+3Sg
  16 ê-wîkicik	PV/e+wîkiw+V+AI+Cnj+3Pl
  16 ê-pimisiniyit	PV/e+pimisin+V+AI+Cnj+4Sg/Pl
  16 ê-otâkosik	PV/e+otâkosin+V+II+Cnj+3Sg
  16 ê-otinât	PV/e+otinêw+V+TA+Cnj+3Sg+4Sg/PlO
  16 ê-nitonawât	PV/e+nitonawêw+V+TA+Cnj+3Sg+4Sg/PlO
  16 ê-manitôwit	PV/e+manitôwiw+V+AI+Cnj+3Sg
  16 ê-kî-tôtahk	PV/e+PV/ki+tôtam+V+TI+Cnj+3Sg
  16 ê-kitâpamikot	PV/e+kitâpamêw+V+TA+Cnj+4Sg/Pl+3SgO
  16 ê-itahtopiponêyân	PV/e+itahtopiponêw+V+AI+Cnj+1Sg
  16 ê-ayâyân	PV/e+ayâw+V+AI+Cnj+1Sg
  16 ê-astêyik	PV/e+astêw+V+II+Cnj+4Sg
  16 wîhtamawêw	wîhtamawêw+V+TA+Ind+3Sg+4Sg/PlO
  16 wîhkât	wîhkât+Ipc
  16 wêskwâhtêmihk	wêskwâhtêmihk+Ipc
  16 tipiskâw	tipiskâw+V+II+Ind+3Sg
  16 sapiko	sapiko+Ipc
  16 pêskis	pêskis+Ipc
  16 nâ	nâ+Ipc
  16 nititwân	itwêw+V+AI+Ind+1Sg
  16 nikî-itik	PV/ki+itêw+V+TA+Ind+3Sg+1SgO
  16 mihcêtiwak	mihcêtiwak+V+AI+Ind+3Pl
  16 kâ-wâpamâcik	PV/kaa+wâpamêw+V+TA+Cnj+3Pl+4Sg/PlO
  16 kâ-nipahât	PV/kaa+nipahêw+V+TA+Cnj+3Sg+4Sg/PlO
  16 kika-itâw	PV/ka+itêw+V+TA+Ind+2Sg+3SgO
  16 itêwak	itêw+V+TA+Ind+3Pl+4Sg/PlO
  16 iskwêyâc	iskwêyâc+Ipc
  16 ayihk	ayihk+Ipc
  16 asamâw	asamêw+V+TA+Ind+X+3SgO
  15 êkwêyâk	êkwêyâk+Ipc
  15 ê-pîhtokêcik	PV/e+pîhtokêw+V+AI+Cnj+3Pl
  15 ê-pimohtêcik	PV/e+pimohtêw+V+AI+Cnj+3Pl
  15 ê-mîcisot	PV/e+mîcisow+V+AI+Cnj+3Sg
  15 ê-kî-tôtahkik	PV/e+PV/ki+tôtam+V+TI+Cnj+3Pl
  15 ê-itohtêyân	PV/e+itohtêw+V+AI+Cnj+1Sg
  15 ê-ay-apit	PV/e+ay-apiw+V+AI+Cnj+3Sg
  15 ê-ati-wayawît	PV/e+PV/ati+wayawîw+V+AI+Cnj+3Sg
  15 ê-asamât	PV/e+asamêw+V+TA+Cnj+3Sg+4Sg/PlO
  15 wîcêwêw	wîcêwêw+V+TA+Ind+3Sg+4Sg/PlO
  15 wâhyawês	wâhyawês+Ipc
  15 wah	wah+Ipc
  15 tâpwêhtam	tâpwêhtam+V+TI+Ind+3Sg
  15 tânitahto	tânitahto+Ipc
  15 takohtêyiwa	takohtêw+V+AI+Ind+4Sg/Pl
  15 tahkohc	tahkohc+Ipc
  15 pimâtisiwak	pimâtisiw+V+AI+Ind+3Pl
  15 pahkisin	pahkisin+V+AI+Ind+3Sg
  15 nîsosâp	nîsosâp+Ipc
  15 nistwâw	nistwâw+Ipc
  15 nipâyiwa	nipâw+V+AI+Ind+4Sg/Pl
  15 nipakwâtên	pakwâtam+V+TI+Ind+1Sg
  15 nika-sipwêhtân	PV/ka+sipwêhtêw+V+AI+Ind+1Sg
  15 mâcika	mâcika+Ipc
  15 mohcihk	mohcihk+Ipc
  15 miyâw	miyêw+V+TA+Ind+X+3SgO
  15 miskam	miskam+V+TI+Ind+3Sg
  15 misakâmê	misakâmê+Ipc
  15 kîwêtinohk	kîwêtinohk+Ipc
  15 kâ-kî-itiht	PV/kaa+PV/ki+itêw+V+TA+Cnj+X+3SgO
  15 kwayas	kwayas+Ipc
  15 kostêw	kostêw+V+TA+Ind+3Sg+4Sg/PlO
  15 kisik	kisik+Ipc
  15 ayiwâkês	ayiwâkês+Ipc
  15 ay-ayâwak	RdplW+ayâw+V+AI+Ind+3Pl
  15 astâw	astâw+V+TI+Ind+3Sg
  14 ôti	ôti+Ipc
  14 ô	ô+Ipc
  14 ê-wâpamâcik	PV/e+wâpamêw+V+TA+Cnj+3Pl+4Sg/PlO
